English;French;Spanish;Deutch
;;;
rien;NE PAS METTRE DES MOTS DE MOINS DE 5 LETTRES;;
;;;
;;;
;;;
instant;Ephemere;Ephemere;
sorcery;Rituel;Rituel;
artifact;Artefact;Artefact;
creature;Creature;Creature;
player;joueur;joueur;
enchantment;enchantement;enchantement;
equipment;equipement;equipement;
ennemy;adversaire;adversaire;
;;;
;;;
;;;
;;;
counter;marqueur;marqueur;
timer;compteur;compteur;
;;;
;;;
;;;
library;bibliothèque;bibliothèque;
your;votre;votre;
each;chaque;chaque;
;;;
;;;
damages;blessures;blessures;
deals;inflige;inflige;
destroy;detruisez;detruisez;
sacrifice;sacrifiez;sacrifiez;
;;;
Quand;Quand;
battlefield;champs de bataille;champs de bataille;
enters the;arrive sur le;arrive sur le;
in your hand;dans votre main;dans votre main;
by your;de votre;de votre;
an instant or sorcery card;une carte d'ephemère ou de rituel;une carte d'ephemère ou de rituel;
 with converted mana cost;avec un coût de mana converti;avec un coût de mana converti;
win;gagnez;gagnez;
lose;perdez;perdez;
to;jusqu'à;jusqu'à;
end step;fin du tour;fin du tour;
;;;
;;;
;;;
;;;
;;;
;;;
life;Points de vie;Points de vie;
land;Terrain;Terrain;
;;;
;;;
;;;
;;;
;;;
can't be the target;ne peut être la cible;ne peut être la cible;
spells;sorts;sorts;
capacity;capacités;capacités;
this turn;ce tour-ci;ce tour-ci;
targeted;ciblée;ciblée;
;;;
;;;
draw;piochez;piochez;
discard;Defaussez;Defaussez;
attach;Attachez;Attachez;
add;Ajoutez;Ajoutez;
Shuffle;Melangez;Melangez;
engage;Engagez;Engagez;
engage;Engager;Engager;
untap;Degagez;Degagez;
untap;Degager;Degager;
;;;
;;;
beast;Bête;Bête;
elf;Elfe;Elfe;
myr;Myr;Myr;
human;Humain;Humain;
sorcerer;Sorcier;Sorcier;
spider;Araignée;Araignée;
rat;Rat;Rat;
goblin;Gobelin;Gobelin;
cat;Chat;Chat;
soldier;Soldat;Soldat;
knight;Chevalier;Chevalier;
drone;Drone;Drone;
rogue;Gredin;Gredin;
imp;Diablotin;Diablotin;
satyr;Satyre;Satyre;
zombie;Zombie;Zombie;
shaman;Shamane;Shamane;
insect;Insecte;Insecte;
ogre;Ogre;Ogre;
ninja;Ninja;Ninja;
spirit;Esprit;Esprit;
warrior;Guerrier;Guerrier;
demon;Démon;Démon;
nymph;Nymphe;Nymphe;
harpy;Harpie;Harpie;
berserker;Berserker;Berserker;
minotaur;Minotaure;Minotaure;
cyclops;Cyclope;Cyclope;
cyclops;Vampire;Vampire;
cyclops;Ange;Ange;
cyclops;Loup;Loup;
cyclops;Loup-garou;Loup-garou;
cyclops;Dragon;Dragon;
cyclops;Drakon;Drakon;
cyclops;Vedalken;Vedalken;
cyclops;Horreur;Horreur;
cyclops;Oiseau;Oiseau;
cyclops;Avatar;Avatar;
cyclops;Diable;Diable;
cyclops;Elemental;Elemental;
cyclops;Centaure;Centaure;
cyclops;Dryade;Dryade;
cyclops;Dieu;Dieu;
cyclops;Deesse;Deesse;
cyclops;Golem;Golem;
cyclops;Elephant;Elephant;
cyclops;Rhinoceros;Rhinoceros;
cyclops;Elan;Elan;
cyclops;Archonte;Archonte;
cyclops;Assassin;Assassin;
cyclops;Barbare;Barbare;
cyclops;Ours;Ours;
cyclops;Sanglier;Sanglier;
cyclops;Construction;Construction;
cyclops;Clerc;Clerc;
cyclops;chimère;chimère;
cyclops;archer;archer;
cyclops;allié;allié;
cyclops;conseiller;conseiller;
cyclops;djinn;djinn;
cyclops;gargouille;gargouille;
cyclops;géant;géant;
cyclops;gnome;gnome;
cyclops;sangami;sangami;
cyclops;druide;druide;
cyclops;nain;nain;
cyclops;chêvre;chêvre;
cyclops;gorgonoïde;gorgonoïde;
cyclops;griffon;griffon;
cyclops;monstruosité;monstruosité;
cyclops;homoncule;homoncule;
cyclops;chien de chasse;chien de chasse;
cyclops;hydre;hydre;
cyclops;illusion;illusion;
cyclops;incarnation;incarnation;
cyclops;méduse;méduse;
cyclops;kor;kor;
cyclops;kraken;kraken;
cyclops;lamassu;lamassu;
cyclops;léviathan;léviathan;
cyclops;lézard;lézard;
cyclops;mercenaire;mercenaire;
cyclops;ondin;ondin;
cyclops;mignon;mignon;
cyclops;moine;moine;
cyclops;mutant;mutant;
cyclops;mystique;mystique;
cyclops;nephilim;nephilim;
cyclops;cauchemar;cauchemar;
cyclops;nomade;nomade;
cyclops;pieuvre;pieuvre;
cyclops;limon;limon;
cyclops;orque;orque;
cyclops;pegase;pegase;
cyclops;pentavite;pentavite;
cyclops;parasite;parasite;
cyclops;phénix;phénix;
cyclops;pirate;pirate;
cyclops;plante;plante;
cyclops;praetor;praetor;
cyclops;rebelle;rebelle;
cyclops;samouraï;samouraï;
cyclops;saprobionte;saprobionte;
cyclops;épouvantail;épouvantail;
cyclops;scorpion;scorpion;
cyclops;éclaireur;éclaireur;
cyclops;serpent;serpent;
cyclops;ombre;ombre;
cyclops;changeforme;changeforme;
cyclops;mouton;mouton;
cyclops;sirène;sirène;
cyclops;squelette;squelette;
cyclops;slivoïde;slivoïde;
cyclops;limace;limace;
cyclops;spectre;spectre;
cyclops;sortisan;sortisan;
cyclops;engeance;engeance;
cyclops;sphinx;sphinx;
cyclops;calamar;calamar;
cyclops;surrakar;surrakar;
cyclops;mécanoptère;mécanoptère;
cyclops;sylvin;sylvin;
cyclops;Srâne;Srâne;
cyclops;Troll;Troll;
cyclops;Tortue ;Tortue ;
cyclops;Licorne;Licorne;
cyclops;viashino;viashino;
cyclops;Terrestre;Terrestre;
cyclops;mur;mur;
cyclops;anomalie;anomalie;
cyclops;baleine;baleine;
cyclops;sorcier;sorcier;
cyclops;apparition;apparition;
cyclops;guivre;guivre;
cyclops;yéti;yéti;
cyclops;zubera;zubera;
cyclops;écureuil;écureuil;
cyclops;survivant;survivant;
cyclops;Grand singe;Grand singe;
cyclops;œil;œil;
cyclops;peuple fée;peuple fée;
cyclops;poisson;poisson;
cyclops;renard;renard;
cyclops;grenouille;grenouille;
cyclops;cuirassé;cuirassé;
cyclops;citoyen;citoyen;
cyclops;seigneur;seigneur;
cyclops;aurochs;aurochs;
cyclops;fourmilier;fourmilier;
cyclops;artificier;artificier;
cyclops;ouvier spécialisé;ouvier spécialisé;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;;;
cyclops;Pietinement;;
cyclops;Vol;;
cyclops;Portée;;
cyclops;Vigilance;;
cyclops;Double;;
cyclops;Fletrissure;;
